job.id n m mu sampling.fun alpha evals max.evals time.passed PD n.maxdegrees n.leafs n.diameters repl type
306 100 4950 2 uniform2 0.5 20000 20000 10.469 118 2 2 2 6 euclidean
307 100 4950 2 uniform2 0.5 20000 20000 9.315 136 2 2 2 7 euclidean
308 100 4950 2 uniform2 0.5 20000 20000 9.953 126 1 2 2 8 euclidean
309 100 4950 2 uniform2 0.5 20000 20000 9.126 118 2 2 2 9 euclidean
310 100 4950 2 uniform2 0.5 20000 20000 9.43 116 1 1 2 10 euclidean
311 100 4950 2 uniform2 0.5 20000 20000 10.017 118 1 1 2 11 euclidean
312 100 4950 2 uniform2 0.5 20000 20000 10.322 124 1 2 2 12 euclidean
313 100 4950 2 uniform2 0.5 20000 20000 12.082 138 2 2 2 13 euclidean
314 100 4950 2 uniform2 0.5 20000 20000 10.267 134 1 2 2 14 euclidean
315 100 4950 2 uniform2 0.5 20000 20000 9.935 124 1 2 2 15 euclidean
316 100 4950 2 uniform2 0.5 20000 20000 10.671 114 2 2 1 16 euclidean
317 100 4950 2 uniform2 0.5 20000 20000 10.375 108 2 2 2 17 euclidean
318 100 4950 2 uniform2 0.5 20000 20000 10.049 116 1 2 2 18 euclidean
319 100 4950 2 uniform2 0.5 20000 20000 10.294 114 2 2 2 19 euclidean
320 100 4950 2 uniform2 0.5 20000 20000 10.288 110 2 2 2 20 euclidean
321 100 4950 2 uniform2 0.5 20000 20000 9.943 132 2 2 2 21 euclidean
322 100 4950 2 uniform2 0.5 20000 20000 10.488 128 2 2 2 22 euclidean
323 100 4950 2 uniform2 0.5 20000 20000 10.635 120 2 2 2 23 euclidean
324 100 4950 2 uniform2 0.5 20000 20000 10.896 118 1 1 2 24 euclidean
325 100 4950 2 uniform2 0.5 20000 20000 10.343 114 2 1 2 25 euclidean
